,POLITICAL_UNIT,NAME,WGMS_ID,LATITUDE,LONGITUDE,RGI_ID,GlaThiDa_ID,Leclercq_ID,status,remark
24,CA,TIEDEMANN,24,51.33,-125.05,RGI50-02.05862,,,True,
32,CA,ALEXANDER,32,57.1,-130.82,RGI50-01.05355,,,True,
47,CA,BRIDGE,47,50.82,-123.57,RGI50-02.04119,,,True,
52,CA,WARD H. I. SH.,52,83.08,-73.8,,,,False,"no RGI equivalent"
53,CA,WARD H. I. RISE,53,83.12,-74.17,RGI50-03.04079,,,True,
66,CA,BENCH,66,51.43,-124.92,RGI50-02.05986,,,True,
81,US,LYNCH,81,47.57,-121.18,,,,False,"no RGI equiv?"
82,US,ICE WORM,82,47.55,-121.17,,,,False,"not identifiable on web"
83,US,DANIELS,83,47.57,-121.17,,,,False,"no RGI equiv? Wikipedia just says:North slope of mt. Daniel"
84,US,FOSS,84,47.55,-121.2,,,,False,"no RGI equiv?"
138,US,GILMAN,138,58.82,-137.07,RGI50-01.20830,,,True,
201,US,NISQUALLY,201,46.82,-121.74,RGI50-02.00644,22.0,120.0,True,
203,US,EMMONS,203,46.85,-121.72,RGI50-02.00651,16.0,,True,
219,PE,QUELCCAYA,219,-13.93,-70.82,,338.0,,False,"unclear:actually all on map+some others:all from RGI50-16.01239 to RGI50-16.01253"
225,PE,SANTA ROSA,225,-10.48,-76.72,,,,False,"unclear which RGI is correct"
232,GL,AMITSULOQ ISKA.,232,66.12,-50.22,RGI50-05.00446,1629.0,,True,
238,GL,QAPIARFIUP SER.,238,65.6,-52.13,RGI50-05.00115,,,True,
240,GL,VALHALTINDEGL.,240,61.44,-45.31,,,,False,"Probably RGI50-05.05149, but not sure http://pubs.usgs.gov/pp/p1386c/p1386c.pdf (Fig. 13)"
256,SE,PARTEJEKNA,327,67.17,17.67,RGI50-08.00928,341.0,,True,
282,FR,MER DE GLACE,353,45.88,6.93,RGI50-11.02923,,109.0,True,
318,CH,FINDELEN,389,46.0,7.87,RGI50-11.02789,94.0,,True,
345,CH,PIZOL,417,46.97,9.4,RGI50-11.00638,362.0,383.0,True,
404,AT,FILLECK K.,476,47.13,12.6,RGI50-11.00073,,,True,
410,AT,VERMUNTGL.,482,46.85,10.13,RGI50-11.00807,298.0,,True,
411,AT,OCHSENTALERGL.,483,46.85,10.1,RGI50-11.00797,283.0,,True,
438,AT,LANGTALER F.,510,46.78,11.01,RGI50-11.00929,275.0,99.0,True,
463,AT,HALLSTAETTER G.,535,47.48,13.62,RGI50-11.00002,248.0,75.0,True,
506,AT,ZETTALUNITZ/MULLWITZ K.,578,47.08,12.38,RGI50-11.00190,279.0,195.0,True,
589,IT,LUNGA (VEDRETTA) / LANGENF.,661,46.46,10.61,RGI50-11.01776,,,True,
628,RU,KHAKEL,700,43.23,41.84,RGI50-12.01297,,327.0,True,
635,RU,NO.104,707,79.37,95.65,,,,False,"Probably Vavilov Ice Cap and thus RGI50-09.468 to RGI50-09.472, RGI50-09.00970 and RGI50-09.00971; GlaThiDa_ID:496.0"
709,KG,SUEK/SUYOK ZAPADNIY,781,41.79,77.75,RGI50-13.06974,39.0,,True,"cross-checked with GLIMS polygon"
710,KG,NO.131,782,41.85,77.77,,,,False,"totally unclear"
718,RU,KOZELSKIY,790,53.23,158.82,,,,False,"unclear"
734,KZ,VISYACHIY-1-2,806,43.04,77.08,RGI50-13.08814,,,True,
735,KZ,PARTIZAN,807,43.03,77.08,,,,True,"no RGI equivalent"
737,KZ,ORDZHONIKIDZE,809,43.03,77.12,RGI50-13.08531,,,True,"also 'Ordjonikidze'"
738,KZ,ZOYA KOSMODEMYANSKAYA,810,43.02,77.1,RGI50-13.08783,,,True,
739,KZ,MANSHUK MAMETOVA,811,43.04,77.1,RGI50-13.08534,,,True,
740,KZ,MOLODEZHNIY,812,43.01,77.09,RGI50-13.08781,,,False,"unclear,probably RGI50-13.08610"
744,KZ,IGLI TUYUKSU,816,43.01,77.12,RGI50-13.08782,,,True,
757,RU,MALYY BERELSKIY,830,49.81,86.73,,,,False,"unclear, can be RGI50-10.01107 (derived from height) or RGI50-10.01121 (derived from characteristics in WGMS)"
776,CN,HAILUOGOU,849,29.58,101.93,RGI50-15.07886,551.0,74.0,True,
824,JP,HAMAGURI YUKI,897,36.6,137.62,,,,False,"unclear, probably only snow field left"
833,NP,AX010,906,27.7,86.57,RGI50-15.03507,,,True,
957,IN,SHAUNE GARANG,1048,31.28,78.33,RGI50-14.12323,,,True,"Glacier not on map as it is region 14, but WGMS coord is in region 15"
1022,US,ARIKAREE,1356,40.05,-105.03,,,,True,"no RGI equivalent"
1060,CA,RAM RIVER,1394,51.85,-116.48,RGI50-02.07173,,,True,
1078,CA,LAIKA GLACIER,1412,75.88,-79.5,RGI50-03.01427,196.0,,True,
1099,BO,ZONGO,1503,-16.25,-68.17,RGI50-16.00543,,373,True,
1100,BO,CHACALTAYA,1505,-16.35,-68.12,RGI50-16.01447,,,True,
1104,CN,XIAO DONGKZMADI,1510,33.17,92.13,,,,False,"totally unclear"
1401,EC,ANTIZANA15ALPHA,1624,-0.47,-78.15,RGI50-16.01339,,,True,
1902,IN,CHORABARI,3640,30.76,79.05,,,,True,"no RGI equivalent"
2152,AQ,BAHIA DEL DIABLO,2665,-63.82,-57.43,,,,False,"is part of very big RGI50-19.00595"
2154,BO,CHARQUINI SUR,2667,-16.17,-68.09,,,369,True,"all glaciers (not only sur) are RGI50-16.01448"
2205,CO,CONEJERAS,2721,4.81,-75.37,,,,False,"part of RGI50-16.01355"
2416,IS,BREIDAMJOEKULL E. B.,3062,64.22,-16.33,,,,False,"totally unclear"
2443,IS,HOFSJOEKULL N,3089,64.95,-18.92,,,,False,"unclear if RGI50-06.00238 (too large, but closer) or RGI50-06.00233 (farther away, potentially also some other included) GlaThiDa ID is 214, but for whole ice cap"
2491,PE,ARTESONRAJU,3292,-8.95,-77.62,RGI50-16.02444,,9.0,True,
2538,IT,CARESER ORIENTALE,3345,46.45,10.7,RGI50-11.01834,,,True,"glacier split up in 2005"
2539,IT,CARESER OCCIDENTALE,3346,46.45,10.69,RGI50-11.01834,,,True,"glacier split up in 2005"
2543,GL,FREYA,3350,74.38,-20.82,RGI50-05.20030,,380.0,True,
2676,SJ,FRIDTJOVBREEN,3494,77.83,14.43,RGI50-07.01100,152.0,,True,
2769,AR,PILOTO ESTE,3589,-32.22,-70.05,,,,False,"Probably a part of RGI50-17.14445 is meant"
2783,PK,SIACHEN,3666,35.47,77.04,RGI50-14.07524,,,True,
3009,AR,CONCONTA NORTE,3902,-29.97,-69.64,,,,False,"Probably RGI50-17.14924"
3010,AR,BROWN SUPERIOR,3903,-29.98,-69.64,,,,False,"Probably RGI50-17.14923"
3011,AR,LOS AMARILLOS,3904,-29.29,-69.99,,,,False,"totally unclear"
3012,CL,AMARILLO,3905,-29.3,-70.0,RGI50-17.11634,,,True,
3015,CA,ST PATRICK BAY NE ICE CAP,3908,81.95,-64.5,RGI50-03.01623,,,True,
3016,CA,DECADE,3909,69.66,-69.92,RGI50-04.03082,,,True,
3020,SJ,LONGYEARBREEN,3913,78.2,15.5,RGI50-07.01107,,,True,
3022,SJ,DAUDBREEN,3915,78.1,18.5,RGI50-07.00382,,,True,
3024,RU,KELBASHI,3917,43.07,43.05,RGI50-12.01198,,,True,
3032,AQ,G1,3925,-63.0,-60.6,,,,False,"unclear (not on web); but might be Leclercq 515('Whisky Bay G'"
3039,RU,BOLSHOI BEREL,3950,49.81,86.74,,,,False,"Probably part of RGI50-10.01115"
3046,GE,KOIAVGAN,3957,42.75,43.3,,,,False,"unclear: Potentially RGI50-12.00632, as in Djankuat (Dzenkhuat) basin and height extent and area fit roughly"
3047,GE,VISYACHIY,3958,42.75,43.3,,,,False,"unclear: Potentially RGI50-12.00335, as in Djankuat (Dzenkhuat) basin and height extent fits roughly"
3048,GE,VIATAU,3959,42.75,43.3,,,,False,"totally unclear"
3059,AQ,STRANDLINE,3970,-74.7,164.03,,,,False,"No RGI equivalent"
3062,AQ,HOWARD,3973,-77.76,163.51,,,,False,"No RGI equivalent"
3064,AQ,GALINDEZ ICE CAP,3975,-65.25,-64.28,,,,False,"Not sure if RGI50-19.00730 (WGMS wrong)...form described as 400m long and square"
3067,CN,GURENHEKOU,3978,30.18,90.46,RGI50-13.28839,221.0,,True,
3069,CL,TORO 1,3980,-29.33,-70.01,RGI50-17.15113,,,True,
3070,CL,TORO 2,3981,-29.33,-70.02,RGI50-17.15114,233.0,,True,
3071,CL,ESPERANZA,3982,-29.33,-70.03,,234.0,,True,"probably RGI50-17.15116"
3072,CL,GUANACO,3983,-29.32,-70.0,,235.0,,True,"RGI50-17.15111 and RGI50-17.15110 (separated as border Chile/Argentine crosses glacier)"
3075,CN,PARLANG ZANGBO: CN5O282B0012,3986,29.3,96.9,RGI50-15.11962,,,True,
3076,CN,PARLANG ZANGBO: CN5O282A1094,3987,29.38,96.98,RGI50-15.11693,,,True,
3080,CN,NAIMONA NYI,3991,30.45,81.33,RGI50-15.09026,,,True,
3081,CN,MUZTAG ATA,3992,38.23,75.05,,,,False,"may refer to multiple. Might be RGI50-13.41890 ('Muztag Ata Glacier no. 15')"
3084,NP,MERA,3996,27.7,86.9,,,,False,"multiple: RGI50-15.03581 and RGI50-15.03583 to RGI50-15.03586"
3103,IN,GARA,3928,31.4,78.5,,,,False,"unclear even though shape is in PDF"
3104,IN,GOR GARANG,3929,31.37,78.49,,,,False,"could be RGI50-14.12548"
3105,IN,NEH NAR,3930,34.16,75.52,RGI50-14.19543,,,True,
3116,US,SPIDER,3941,48.14,-120.83,RGI50-02.00974,,,True,
3383,NO,AUSTRE MEMURUBREEN,1317,61.55,8.5,RGI50-08.01655,,,True,
3387,NO,BLAABREEN & RUKLEBREEN,3803,60.07,6.42,,,,False,"multiple: RGI50-08.01428,RGI50-08.02030,RGI50-08.01426; unclear which one Blabreen is (polygonin WGI, but not in neighborhood of Ruklebreen"
3389,NO,BLAAISEN,1328,68.33,17.85,RGI50-08.00710,,,True,
3391,NO,BLOMSTERSKARDSBREEN,1321,59.98,6.28,,,,False,"multiple: RGI50-08.01436, RGI50-08.01418 and RGI50-08.01429 (according to Atlas of glaciers in South Norway(Oestrem et al. 188, 38 as cited in Wittmeier 2010"
3392,NO,BLOMSTOELSKARDSBREEN,3339,59.94,6.33,,,,False,"right half of RGI50-08.01436 (part of Blomsterskardsbreen)"
3396,NO,BONDHUSBREA,318,60.03,6.33,RGI50-08.01432,,22,True,
3416,NO,HARBARDSBREEN,2320,61.7,7.68,RGI50-08.01736,,,True,
3446,NO,HOEGTUVBREEN,286,66.45,13.63,,,,False,"Probably RGI50-08.02616"
3447,NO,JOSTEFONN,1676,61.41,6.55,,,,False,"unclear"
3469,NO,OMNSBREEN,3805,60.63,7.48,,,,False,"multiple:RGI50-08.01517, RGI50-08.01520, RGI50-08.01521, RGI50-08.01526 and RGI50-08.01531 according to Lilleoren 2013"
3489,NO,SVELGJABREEN,3343,59.94,6.28,,,,False,"left half of RGI50-08.01436 (part of Blomsterskardsbreen)"
3496,NO,TUNSBERGDALSBREEN,1316,61.6,7.05,RGI50-08.02379,,,True,
3497,KE,LEWIS,695,-0.15,37.3,RGI50-16.01638,,,True,
3498,KG,ABRAMOV,732,39.62,71.56,RGI50-13.54430,,,True,
3499,SJ,WALDEMARBREEN,2307,78.67,12.0,RGI50-07.00492,,,True,
